Numer;Dzien;Miesiac;Rok;L1;L2;L3;L4;L5;L6
5887;3;1;2017;2;7;22;32;41;44
5888;5;1;2017;8;30;39;41;44;49
5889;7;1;2017;1;7;23;37;46;48
5890;10;1;2017;5;15;23;25;43;49
5891;12;1;2017;3;5;16;19;25;44
5892;14;1;2017;3;7;21;24;40;47
5893;17;1;2017;7;38;40;44;46;48
5894;19;1;2017;1;27;31;38;41;49
5895;21;1;2017;12;13;17;19;29;31
5896;24;1;2017;5;12;27;33;36;38
5897;26;1;2017;15;17;21;31;34;47
5898;28;1;2017;3;7;8;9;12;13
5899;31;1;2017;15;19;28;37;43;46
5900;2;2;2017;1;12;13;24;32;35
5901;4;2;2017;14;24;25;28;36;41
5902;7;2;2017;4;7;14;28;32;39
5903;9;2;2017;3;8;21;31;35;43
5904;11;2;2017;2;23;25;37;38;46
5905;14;2;2017;1;13;14;20;38;40
5906;16;2;2017;3;9;17;25;34;47
5907;18;2;2017;6;10;11;24;41;42
5908;21;2;2017;5;18;24;35;43;49
5909;23;2;2017;3;7;8;10;31;40
5910;25;2;2017;4;5;19;21;40;41
5911;28;2;2017;3;22;26;35;39;43
5912;2;3;2017;7;25;28;29;39;46
5913;4;3;2017;2;12;13;15;43;49
5914;7;3;2017;1;4;21;24;27;35
5915;9;3;2017;6;15;18;19;29;33
5916;11;3;2017;5;11;27;28;32;40
5917;14;3;2017;6;12;15;23;29;32
5918;16;3;2017;2;18;22;32;35;39
5919;18;3;2017;12;32;34;38;44;47
5920;21;3;2017;7;13;17;29;41;42
5921;23;3;2017;2;9;23;30;32;39
5922;25;3;2017;25;33;35;38;44;48
5923;28;3;2017;4;14;16;30;31;37
5924;30;3;2017;1;17;23;30;36;45
5925;1;4;2017;11;15;18;19;25;49
5926;4;4;2017;2;3;18;23;37;38
5927;6;4;2017;14;17;18;22;29;37
5928;8;4;2017;6;14;21;25;39;43
5929;11;4;2017;5;10;13;21;24;25
5930;13;4;2017;2;11;13;21;24;37
5931;15;4;2017;9;17;22;26;28;48
5932;18;4;2017;2;7;25;28;41;48
5933;20;4;2017;8;21;32;41;43;48
5934;22;4;2017;2;34;36;41;43;46
5935;25;4;2017;2;5;7;36;38;44
5936;27;4;2017;4;10;22;25;26;37
5937;29;4;2017;2;7;21;22;34;37
5938;2;5;2017;1;14;24;30;36;46
5939;4;5;2017;1;19;27;28;48;49
5940;6;5;2017;1;3;5;20;23;40
5941;9;5;2017;5;10;13;16;34;37
5942;11;5;2017;6;10;22;23;36;37
5943;13;5;2017;4;7;8;10;17;30
5944;16;5;2017;3;14;21;29;41;42
5945;18;5;2017;9;24;30;33;37;38
5946;20;5;2017;21;25;35;39;40;49
5947;23;5;2017;14;25;26;30;38;45
5948;25;5;2017;4;9;15;32;42;43
5949;27;5;2017;5;7;8;22;32;33
5950;30;5;2017;6;18;36;40;42;44
5951;1;6;2017;23;27;34;35;41;45
5952;3;6;2017;11;21;23;30;35;38
5953;6;6;2017;5;7;15;17;25;49
5954;8;6;2017;11;12;13;19;22;26
5955;10;6;2017;2;6;15;24;40;43
5956;13;6;2017;1;5;20;30;35;39
5957;15;6;2017;10;14;15;24;25;32
5958;17;6;2017;1;9;24;25;38;43
5959;20;6;2017;32;35;39;40;46;47
5960;22;6;2017;4;5;7;41;44;49
5961;24;6;2017;9;22;29;30;33;46
5962;27;6;2017;12;15;20;34;39;48
5963;29;6;2017;15;25;26;30;33;39
5964;1;7;2017;2;17;20;21;22;23
5965;4;7;2017;3;10;22;25;30;48
5966;6;7;2017;9;24;26;28;29;38
5967;8;7;2017;1;3;14;36;37;43
5968;11;7;2017;6;14;15;32;35;43
5969;13;7;2017;4;8;11;14;23;39
5970;15;7;2017;1;23;28;35;38;39
5971;18;7;2017;18;29;31;41;43;44
5972;20;7;2017;6;18;23;29;31;33
5973;22;7;2017;5;10;21;26;27;28
5974;25;7;2017;10;16;17;18;39;45
5975;27;7;2017;13;21;24;26;27;46
5976;29;7;2017;4;24;29;36;40;48
5977;1;8;2017;16;17;25;27;39;42
5978;3;8;2017;2;6;12;14;29;49
5979;5;8;2017;10;14;24;27;36;38
5980;8;8;2017;7;16;37;39;41;43
5981;10;8;2017;4;5;13;15;19;39
5982;12;8;2017;2;15;21;32;44;48
5983;15;8;2017;7;19;23;38;46;49
5984;17;8;2017;3;10;14;21;24;30
5985;19;8;2017;13;20;23;24;27;45
5986;22;8;2017;2;4;6;12;29;37
5987;24;8;2017;4;8;20;21;28;40
5988;26;8;2017;8;12;17;34;35;47
5989;29;8;2017;5;13;23;32;35;45
5990;31;8;2017;10;11;12;36;38;47
5991;2;9;2017;17;21;31;36;37;46
5992;5;9;2017;6;10;39;40;43;46
5993;7;9;2017;1;2;5;8;29;43
5994;9;9;2017;3;7;10;13;42;45
5995;12;9;2017;4;20;28;29;39;47
5996;14;9;2017;2;12;13;17;28;29
5997;16;9;2017;2;8;29;40;47;49
